index	char	source	confidence	uses	alts
179	捕	ruby	medium	64	掬乕
180	伝	context	medium	53	伝阮挺肌斫
181	旦	ruby	high	19	
182	那	ruby	high	10	
183	存	ruby	high	59	
184	阿	context	medium	20	网同岡阿明
185	痛	okurigana	medium	84	鏡膜鐵鋭饒
186	亡	additional_context_confirmed	high	55	亡じ匸む仁
187	美	ruby	high	40	
188	左	ruby	medium	4	
189	恵	ruby	high	27	
190	書	context	medium	70	書盡晝盪豊
191	佐	ruby	medium	25	
192	嬢	ruby	high	29	
193	例	ruby	high	24	
194	遅	ruby	medium	18	臆
195	逆	context	medium	26	逆述避鋩巫
196	比	additional_context_confirmed	high	2	比庄齔化捻
197	数	context	medium	33	數数妝教馼
198	陽	context	medium	34	孳孥挙拏駢
199	印	additional_context_confirmed	high	13	印槨国岡閙
200	象	additional_context_confirmed	high	13	豢夐象躯彙
201	優	ruby	high	26	
202	他	additional_context_confirmed	high	50	鏃蹠蝓蛆鮠
203	特	context	medium	66	持特將胖梓
204	良	ruby	medium	73	
205	誰	ruby	high	78	
206	空	ruby	medium	13	
207	絵	ruby	medium	5	
208	能	context	medium	15	龜躯簓髷氣
209	中	ruby	high	279	
210	切	additional_context_confirmed	high	64	
211	仇	ruby	high	3	
212	視	ruby	medium	16	俟
213	線	ruby	medium	11	
214	冷	okurigana	medium	11	療褂瘴庫康
215	関	additional_context_confirmed	high	271	
216	是	ruby	high	7	
217	非	ruby	medium	25	脊
218	引	additional_context_confirmed	high	75	引
219	経	ruby	high	39	
220	束	ruby	medium	9	塚
221	用	ruby	medium	93	
222	黙	ruby	medium	32	玉
223	父	additional_context_confirmed	high	67	父攵虻乂鋩
224	願	ruby	medium	40	
225	疚	okurigana	medium	21	飲飮批欲俄
226	貸	additional_context_confirmed	high	12	貸貲錢瞥賃
227	顔	additional_context_confirmed	high	57	繼鐓繃纖麟
228	判	context	medium	71	判柯鷯枸物
229	借	additional_context_confirmed	high	22	倍僭僧儕倩
230	芯	ruby	medium	1	
231	強	ruby	medium	43	
232	調	okurigana	medium	354	躑鶲讖鷁識
233	査	ruby	medium	203	作
234	終	context	medium	84	終鮗許胖嶄
235	綴	okurigana	medium	38	辺迢遐磁避
236	失	ruby	high	95	
237	礼	context	medium	65	扎礼札牝亂
238	礒	ruby	medium	31	
239	束	ruby	high	19	
240	残	additional_context_confirmed	high	127	残桟賎棧找
241	得	context	medium	78	黹得樗饅撈
242	感	ruby	high	122	
243	勝	additional_context_confirmed	high	57	
244	代	ruby	medium	165	髏
245	變	okurigana	medium	7	妻姜豊鏖會
246	真	additional_context_confirmed	high	2	赤●春素恚
247	昨	ruby	high	111	
248	役	context	medium	28	役挽俛佼撹
249	遡	reading	medium	1	遯遵纒遡纏
250	母	additional_context_confirmed	high	70	饅瓣偐段母
251	血	ruby	medium	8	
252	縁	additional_context_confirmed	high	12	
253	係	ruby	high	228	
254	参	context	medium	24	參参●歙歉
255	腸	context	medium	42	鞴韆鱒糒韃
256	係	additional_context_confirmed	high	140	
257	口	ruby	high	244	
258	枢	ruby	medium	1	
259	動	additional_context_confirmed	high	15	
260	企	ruby	high	20	
261	業	ruby	high	231	
262	各	additional_context_confirmed	high	88	
263	企	additional_context_confirmed	high	5	
264	合	ruby	medium	157	
265	社	additional_context_confirmed	high	5	衒斫挺擬撒
266	重	context	medium	18	隹皇篁崔童
267	向	ruby	medium	66	
268	街	additional_context_confirmed	high	23	食倉責賣良
269	孛	bitmap	low	2	豢孛髦璧炊
270	向	additional_context_confirmed	high	5	
271	食	additional_context_confirmed	high	3	
272	堂	additional_context_confirmed	high	106	店唐眠斫貭
273	外	ruby	high	181	
274	機	ruby	high	64	
275	店	additional_context_confirmed	high	47	負員賣賁麁
276	受	context	medium	154	受斐曼誉譽
277	付	context	medium	164	忖付ＨΗ餞
278	咐	ruby	medium	5	
279	造	context	medium	11	造遊道逝渣
280	待	ruby	medium	299	間
281	高	context	medium	18	広応庄仄炭
282	沽	ruby	high	76	
283	間	additional_context_confirmed	high	228	
284	雰	ruby	high	8	
285	住	context	medium	23	庄住侘俊佐
286	明	additional_context_confirmed	high	33	
287	丈	ruby	medium	47	条
288	夫	ruby	high	47	
289	安	ruby	medium	47	
290	咫	ruby	medium	15	与
291	部	ruby	high	162	
292	署	context	medium	9	署箸謇奢詈
293	来	context	medium	189	来來東柬兼
294	承	ruby	high	16	
295	署	additional_context_confirmed	high	31	抗梳柧拠輒
296	来	additional_context_confirmed	high	1	
297	承	additional_context_confirmed	high	57	
298	形	ruby	high	30	
299	斬	ruby	high	3	
300	下	ruby	high	91	
301	可	ruby	high	80	
302	能	context	medium	79	能紕簓■蛆
303	下	additional_context_confirmed	high	25	薙曝簸鬚幾
304	可	additional_context_confirmed	high	11	夢孳蓼搴麥
305	能	additional_context_confirmed	high	2	
306	縮	ruby	high	3	
307	雛	context	medium	2	嗇厳錐蔚巖
308	置	context	medium	69	■匱直賣篋
309	商	ruby	medium	8	
310	談	ruby	high	28	
311	置	additional_context_confirmed	high	4	詰訪誌詁詩
312	何	context	medium	75	何俯餠辮拊
313	度	context	medium	117	度廈虔窗厦
314	訪	additional_context_confirmed	high	32	利軻村柯鶇
315	何	additional_context_confirmed	high	57	豢萠麕鼈截
316	度	additional_context_confirmed	high	115	植掖毓披檢
317	利	additional_context_confirmed	high	166	
318	給	context	medium	4	給絵胎鯰姶
319	植	additional_context_confirmed	high	9	料科斜抖軒
320	朗	additional_context_confirmed	high	102	聡
321	刺	ruby	high	31	
322	料	additional_context_confirmed	high	71	
323	憧	reading	medium	12	憶愴慢惶憧
324	内	ruby	high	152	
325	纏	okurigana	medium	3	駅鈬釈釿訳
326	便	ruby	medium	3	
327	分	ruby	medium	251	
328	綾	ruby	high	33	
329	理	ruby	high	181	
330	分	additional_context_confirmed	high	1	
331	戴	ruby	medium	1	
332	理	additional_context_confirmed	high	14	
333	我	ruby	high	22	
334	賭	context	medium	9	紲臆繚嫌戀
335	御	additional_context_confirmed	high	49	設狡寂股毆
336	化	ruby	high	34	
337	希	context	medium	7	希肴毒斎番
338	設	additional_context_confirmed	high	41	望璽璧悽攣
339	算	context	medium	9	賣貰嘗弉貧
340	希	additional_context_confirmed	high	65	計訃肚什肝
341	望	additional_context_confirmed	high	30	
342	算	additional_context_confirmed	high	32	隕崗萌險隴
343	計	additional_context_confirmed	high	21	
344	連	ruby	high	46	
345	携	ruby	high	6	
346	要	ruby	high	88	
347	連	additional_context_confirmed	high	21	
348	携	additional_context_confirmed	high	20	
349	要	additional_context_confirmed	high	2	
350	軟	ruby	medium	1	
351	産	ruby	medium	5	
352	提	ruby	medium	50	
353	供	ruby	medium	18	
354	素	ruby	high	31	
355	槍	context	medium	17	暗哨嶢晴疇
356	指	ruby	medium	149	剃
357	営	context	medium	31	貲育實肯囂
358	活	context	medium	14	活沽估橇瓲
359	崋	ruby	medium	4	兼莪
360	営	additional_context_confirmed	high	37	
361	活	additional_context_confirmed	high	37	
362	紹	ruby	high	10	
363	介	ruby	high	10	
364	進	additional_context_confirmed	high	25	帛弯累寓寫
365	典	context	medium	2	典黄喪夷冓
366	断	context	medium	29	断崗斷絎■
367	常	additional_context_confirmed	high	15	
368	選	ruby	medium	13	
369	婚	ruby	high	24	
370	居	ruby	high	18	
371	選	additional_context_confirmed	high	7	
372	婚	additional_context_confirmed	high	78	闘
373	退	context	medium	917	三豆亙互湮
374	職	context	medium	910	甫唐慮濾虜
375	撃	ruby	medium	44	鵜
376	三	additional_context_confirmed	high	4	簸
377	浦	additional_context_confirmed	high	69	
378	撃	additional_context_confirmed	high	53	必趁畆髟齢
379	評	context	medium	10	許拌評胖譁
380	根	ruby	high	17	
381	必	additional_context_confirmed	high	10	庄住往眈陳
382	意	ruby	high	139	
383	長	context	medium	194	長跿貧員曼
384	注	additional_context_confirmed	high	13	厳竸敏敵継
385	腕	ruby	high	15	
386	長	additional_context_confirmed	high	18	播
387	触	okurigana	medium	31	忘岩起厳紜
388	就	context	medium	8	硫肬碇蔵跿
389	戻	reading	medium	83	炭慶斑庚臠
390	生	ruby	high	257	
391	続	context	medium	58	皎硫皖院饒
392	思	okurigana	medium	3	走麦圭澎素
